TERMOS;OBSERVA��O (CARACTERES);EXLCUIR;sin�nimo (categoria);Frequency
MATERNAL MORTALITY;;;REPRODUCTIVE HEALTH;3
MONOLINGUAL FEMINISMS;;;;3
NTOZAKE SHANGES;;;;3
PATIENT-CENTERED CONTRACEPTIVE;;;;3
POSTPARTUM CONTRACEPTION;;;CONTRACEPTION CARE;3
PREGNANCY CONTRACEPTION;;;;3
PREGNANCY PLANNING;;;REPRODUCTIVE HEALTH;3
PREGNANT PEOPLE;;;REPRODUCTIVE HEALTH;3
QUEER BIOETHICS;;;ETHICAL ISSUES;3
QUEERING FAMILY;;;;3
RACE CLASS;;;;3
RACIAL JUSTICE;;;;3
REPRODUCTIVE COERCION;;;;3
REPRODUCTIVE EQUITY;;;EQUITY ADDRESSING;3
REPRODUCTIVE FREEDOM;;;;3
REPRODUCTIVE GOVERNANCE;;;;3
REPRODUCTIVE HEALTHCARE;;;;3
REPRODUCTIVE POLITICS;;;;3
REPRODUCTIVE SURVEILLANCE;;;;3
REPRODUCTIVE TECHNOLOGY;;;ASSISTED REPRODUCTION;3
RESPECTFUL MATERNITY;;;;3
REVIEW PROTOCOL;;1;;3
SEXUAL ACTIVITY;;;;3
SEXUAL ASSAULT;;;;3
SOCIAL CONTROL;;;;3
SOCIAL MEDIA;;;;3
SOCIAL MOVEMENT;;;;3
SPECIAL ISSUE;;1;;3
TRANSLATION CHALLENGING;;;;3
UNITED KINGDOM;;;;3
WHITE MONOLINGUAL;;;;3
WHITE SUPREMACY;;;;3
WOMENS RIGHTS;;;;3
ABORTION DECRIMINALIZATION;;;ABORTION STUDY;2
ABORTION EXPERIENCE;;;ABORTION STUDY;2
ABORTION MOBILITIES;;;ABORTION STUDY;2
ABORTION POLICIES;;;ABORTION STUDY;2
ABORTION POLICY;;;ABORTION STUDY;2
ABORTION PROJECT;;;ABORTION STUDY;2
ABORTION REPRODUCTIVE;;;ABORTION STUDY;2
ABORTION STIGMA;;;ABORTION STUDY;2
ABORTION-RELATED OBSTETRIC;;;ABORTION STUDY;2
ACCESS EXPERIENCES;;;;2
ADDRESSING STRUCTURAL;;;;2
ADOLESCENT GIRLS;;;ADDRESSING TEENAGE;2
ADOLESCENT REPRODUCTIVE;;;ADDRESSING TEENAGE;2
ADOPTIVE COUPLE;;;ADOPTION BELONGING;2
ADVANCING MATERNAL;;;;2
ADVOCACY STRATEGIES;;;ACTIVIST KNOWLEDGES;2
AFRICAN COUNTRIES;;;;2
AMERICAN INDIAN;;;;2
AMERICAN NATIVE;;;;2
ANALYSIS BASED;;;;2
ARTE SOBRE;;;ART-BASED APPROACH;2
ARTIFICIAL WOMBS;;;;2
ASIA PACIFIC;;;;2
AUDIOAUTO BIOGRAPHY;;;;2
AUSTRALIA CREATING;;;;2
BABY GIRL;;;;2
BAD SEED;;;;2
BIOPOLÍTICA DERECHOS;CARACTER ESPECIAL;;;2
BIRTH STORIES;;;;2
BIRTHING JUSTICE;;;BIRTH JUSTICE;2
BIRTHING PERSONS;;;;2
BLACK INDIGENOUS;;;;2
BLACK LIVES;;;BLACK LIVES;2
BLACK MATERNITY;;;BLACK MOTHERS;2
BLACK MIDWIVES;;;BLACK LIVES;2
BLACK NURSES;;;BLACK LIVES;2
BLACK PERINATAL;;;BLACK MOTHERS;2
BLACK PREGNANT;;;BLACK MOTHERS;2
BLACK QUEER;;;BLACK QUEER;2
BLACK WOMEN-LED;;;BLACK LIVES;2
BLOOD QUANTUM;;;;2
BODILY AUTONOMY;;;;2
BRAZIL CHILE;;;;2
BREASTFEEDING AWARENESS;;;BREASTFEEDING IMPLICATIONS;2
BREASTFEEDING IMPLICATIONS;;;BREASTFEEDING IMPLICATIONS;2
CAMPUS CRISIS;;;;2
CARE PROVIDERS;;;CARE IMPLICATIONS;2
CARE SERVICES;;;CARE IMPLICATIONS;2
CARE UNDERSTANDING;;;CARE IMPLICATIONS;2
CATALISAR ESTRATÉGIAS;CARACTER ESPECIAL;;;2
CATHARINE STIMPSON;;;;2
CATHOLIC CHURCH;;;;2
CATLETTS PRINTS;;;;2
CENTERING COMMUNITY;;;;2
CENTRE CHOICE;;;;2
CENTURY AUSTRALIA;;;;2
CHALLENGING SOUTH;;;;2
CHILD PROTECTION;;;CHILD CHALLENGING;2
CHILDBEARING REPRODUCTIVE;;;;2
CIRCUNSTANCIAS DE;;1;;2
CLIMATE JUSTICE;;;CLIMATE CHANGE;2
CLINICAL RESEARCH;;;HEALTH RESEARCH;2
COLOR REPRODUCTIVE;;;;2
COMMERCIAL SURROGACY;;;;2
CONCEPT ANALYSIS;;;;2
CONSERVATIVE BACKLASH;;;;2
CONSERVATIVE LAESTADIAN;;;;2
CONTEMPORARY PODCAST;;;;2
CONTEMPORARY REPRODUCTIVE;;;;2
CONTEXTS COALITIONS;;;;2
CONTRACEPTION ACCESS;;;CONTRACEPTION CARE;2
CONTRACEPTION LARC;;;LONG-ACTING REVERSIBLE;2
CONTRACEPTIVE ACCESS;;;CONTRACEPTION CARE;2
CONTRACEPTIVE DECISION-MAKING;;;CONTRACEPTION CARE;2
CONTRACEPTIVE IMPLANT;;;CONTRACEPTION CARE;2
CONTROL ACCESS;;;;2
COUNSELING PSYCHOLOGY;;;;2
CRIMINAL LEGAL;;;CRIMINAL JUSTICE;2
CRITICAL EXAMINATION;;;;2
CRITICAL REVIEW;;;;2
CRITICAL SOCIAL;;;;2
CROSS-SECTIONAL SURVEY;;;;2
CULTURAL FACTORS;;;;2
CULTURE WAR;;;;2
DA FECUNDIDADE;;;;2
DALIT FEMINIST;;;;2
DE DESIGUALDAD;;;;2
DE GESTÃO;CARACTER ESPECIAL;;;2
DE GOVERNO;;;;2
DE INCIDÊNCIA;CARACTER ESPECIAL;;;2
DE JUSTIÇA;CARACTER ESPECIAL;;;2
DE LAS;;1;;2
DE MULHERES;;;;2
DEL ARTE;;;ART-BASED APPROACH;2
DERECHOS DE;;;;2
DESIGUALDAD RADICAL;;;;2
DIFFUSION NOTES;;;;2
DISABILITY REPRODUCTIVE;;;;2
DISABILITY RIGHTS;;;;2
DISABILITY ROYAL;;;;2
DISIDENTES REESCRIBEN;;;;2
DOMESTIC VIOLENCE;;;;2
ECONOMIC GROWTH;;;;2
EDUCATION ACTIVISM;;;EDUCATION FRAMEWORK;2
EL POSTHUMANISMO;;;;2
ELIZABETH CATLETTS;;;;2
EM SAÚDE;CARACTER ESPECIAL;;;2
EMBODIED PRACTICES;;;;2
EMPOWERMENT BAE;;;;2
EN CIRCUNSTANCIAS;;;;2
EN ECUADOR;;;;2
ENVIRONMENTALISMS COALITION;;;ENVIRONMENTAL JUSTICE;2
EQUITABLE ACCESS;;;EQUITY ADDRESSING;2
ESQUINA EXPLOTACIÓN;CARACTER ESPECIAL;;;2
ESTRATÉGIAS DE;CARACTER ESPECIAL;;;2
EXPANDING ACCESS;;;;2
EXPLORATORY SURVEY;;;;2
EXPLORING BLACK;;;BLACK LIVES;2
EXPLOTACIÓN REPRODUCTIVA;CARACTER ESPECIAL;;;2
FAMILY TREES;;;;2
FECUNDIDADE DE;;1;;2
FEMALE NARRATIVES;;;;2
FEMINISMS LTCHOICE;;;ACTIVIST KNOWLEDGES;2
FEMINIST DIASPORA;;;ACTIVIST KNOWLEDGES;2
FEMINIST HEALTH;;;ACTIVIST KNOWLEDGES;2
FEMINIST PERSPECTIVES;;;ACTIVIST KNOWLEDGES;2
FEMINIST SCHOLARSHIP;;;ACTIVIST KNOWLEDGES;2
FEMINIST VOICES;;;ACTIVIST KNOWLEDGES;2
FERTILITY PRESERVATION;;;FERTILITY CARE;2
FICCIONES DISIDENTES;;;;2
FORCED STERILIZATION;;;;2
FOSTER CARE;;;;2
FRAN ROSSS;;;;2
FREEDOM MOVEMENT;;;ACTIVIST KNOWLEDGES;2
GENDER DISCOURSES;;;;2
GENETIC TESTING;;;;2
GEORGIA MEDICATION;;;;2
GESTÃO DA;CARACTER ESPECIAL;;;2
GESTATIONAL AGE;;;;2
GLOBAL MARKET;;;;2
GLOBAL MOVEMENT;;;;2
GLOBAL PANDEMIC;;;COVID- PANDEMIC;2
HEALTH ACTIVISM;;;HEALTH ACTIVISM;2
HEALTH ADVOCACY;;;HEALTH ACTIVISM;2
HEALTH GAP;;;HEALTH ISSUE;2
HEALTH ORGANIZATIONI;;;HEALTH ACTIVISM;2
HEALTH PROMOTION;;;HEALTH CARE;2
HEALTH RESEARCH;;;HEALTH RESEARCH;2
HEALTH SERVICES;;;HEALTH CARE;2
HEALTH SUPPORTS;;;HEALTH CARE;2
HEALTH WORKERS;;;HEALTH CARE;2
HIV PREVENTION;;;;2
HORIZONTAL ELLIPSIS;;;;2
IA CALL;;;;2
IJUSTICIA REPRODUCTIVAI;;1;;2
IMELDA REPRODUCTIVE;;;;2
IMMIGRATION ENFORCEMENT;;;;2
IMPERILED DIVERSITIES;;;;2
IMPLANT DISCONTINUATION;;;;2
INCARCERATED WOMEN;;;ABOLITION POLITICS;2
INCIDÊNCIA DURANTE;CARACTER ESPECIAL;;;2
INCORPORATING REPRODUCTIVE;;;;2
INCREASING ACCESS;;;;2
INDIGENOUS PEOPLES;;;;2
INDIGENOUS WOMENS;;;;2
INFORMED CONSENT;;;;2
INJUSTICIA REPRODUCTIVA;;1;;2
INSURANCE COVERAGE;;;;2
INTEGRATED APPROACH;;;;2
INTELLECTUAL DISABILITY;;;;2
INTENTION SCREENING;;;;2
INVISIBLE INFERTILE;;;;2
IREPRODUCTIVE JUSTICE;;1;;2
IUD COUNSELING;;;;2
JUSTICE ABORTION;;;ABORTION STUDY;2
JUSTICE CONCLUSION;;;;2
JUSTICE CONTEXTS;;;;2
JUSTICE EQUITY;;;EQUITY ADDRESSING;2
JUSTICE EXAMINING;;;;2
JUSTICE FRAMEWORKS;;;;2
JUSTICE FUTURES;;;;2
JUSTICE HEALTH;;;;2
JUSTICE IMPLICATIONS;;;;2
JUSTICE INTRODUCTION;;;JUSTICE INTRODUCTION;2
JUSTICE LESSONS;;;;2
JUSTICE MATTERS;;;;2
JUSTICE METHODOLOGY;;;;2
JUSTICE MOVEMENT;;;;2
JUSTICE PRINCIPLES;;;;2
JUSTICE RACE;;;;2
JUSTICE RACIAL;;;;2
JUSTICEI INTRODUCTION;;;JUSTICE INTRODUCTION;2
KOREAS ABORTION;;;ABORTION STUDY;2
LA ESQUINA;;1;;2
LA INJUSTICIA;;;;2
LA LEY;;;;2
LA VUELTA;;1;;2
LAS MUJERES;;;;2
LATIN AMERICA;;;LATIN AMERICA;2
LATIN AMERICAN;;;LATIN AMERICA;2
LATINA MOTHERS;;;;2
LATINA WOMEN;;;;2
LAW REFORM;;;CRIMINAL JUSTICE;2
LEGAL SYSTEM;;;CRIMINAL JUSTICE;2
LEGISLATIVE PERSPECTIVE;;;;2
LESBIAN MOTHERHOOD;;;LESBIAN MOTHERHOOD;2
LESBIAN MOTHERS;;;LESBIAN MOTHERHOOD;2
LESSONS LEARNED;;;;2
LEY INVESTIGACIÓN;CARACTER ESPECIAL;;;2
LIÇÕES DE;CARACTER ESPECIAL;;;2
LISA LOOMERS;;;;2
LISTENING OBSTETRIC;;;;2
LIVED EXPERIENCES;;;;2
LIVING ENVIRONMENTALISMS;;;ENVIRONMENTAL JUSTICE;2
LOST OPPORTUNITY;;;;2
LTCHOICE GT;;;;2
MALE CONTRACEPTION;;;;2
MASS INCARCERATION;;;ABOLITION POLITICS;2
MATERNAL AGE;;;;2
MATERNAL AGENCY;;;;2
MATERNAL MENTAL;;;REPRODUCTIVE HEALTH;2
MATERNIDADES PROHIBIDAS;;;;2
MATERNITY FRAN;;;;2
MEDICAL STUDENTS;;;;2
MEETING WOMENS;;;;2
METHODS TENSIONS;;;;2
MILITARIZED ASIA;;;;2
MODOS DE;;1;;2
MOTHERS ELIZABETH;;;;2
MULHERES VULNERÁVEIS;;;;2
MULTIGENERATIONAL CULTURE;;;;2
NATIONAL CALL;;;;2
NATIONAL HEALTH;;;;2
NEOLIBERAL GLOBALIZATION;;;;2
NUCLEAR DIFFUSION;;;;2
OBSTETRIC ANESTHESIOLOGY;;;;2
OBSTETRIC CARE;;;;2
OUTSTANDING FEMINIST;;;;2
PARA CATALISAR;;1;;2
PARTICIPATORY RESEARCH;;;;2
PATIENT CARE;;;;2
PERINATAL CARE;;;REPRODUCTIVE HEALTH;2
PERINATAL MENTAL;;;REPRODUCTIVE HEALTH;2
PERIOD POVERTY;;;;2
PERMANENT CONTRACEPTION;;;;2
PLANNING CARE;;;HEALTH CARE;2
PODCAST CULTURE;;;;2
PODCAST FAMILY;;;;2
POLITICAL INTERSECTIONALITY;;;;2
POLITICAL SUBJECT;;;;2
POLITICS SOCIAL;;;;2
POPULAR MEDIA;;;;2
POST-DOBBS ERA;;;DOBBS DECISION;2
POSTHUMANISMO REPRODUCTIVO;;;;2
POST-I DOBBSI;;;DOBBS DECISION;2
POST-IDOBBSI ERA;;;DOBBS DECISION;2
POST-IDOBBSI WORLD;;;DOBBS DECISION;2
POST-IROEI ERA;;;POST-ROE ERA;2
POSTPARTUM STERILIZATION;;;CONTRACEPTION CARE;2
POST-ROE AMERICA;;;POST-ROE ERA;2
POST-ROE LANDSCAPE;;;POST-ROE ERA;2
PRECÁRIAS TECNOLOGIAS;;;;2
PRECONCEPTION HEALTH;;;;2
PREGNANCY CENTRE;;;REPRODUCTIVE HEALTH;2
PREGNANCY EXPERIENCES;;;REPRODUCTIVE HEALTH;2
PREGNANCY INTENTION;;;REPRODUCTIVE HEALTH;2
PREGNANCY RESOLUTION;;;REPRODUCTIVE HEALTH;2
PRENATAL CARE;;;REPRODUCTIVE HEALTH;2
PROHIBIDAS LA;;;;2
PROVIDE ABORTION;;;;2
PROVIDER BIAS;;;;2
PSYCHOLOGICAL DISTRESS;;;;2
PSYCHOLOGICAL SCIENCE;;;;2
PUBLIC HEARING;;;;2
PUBLIC POLICY;;;;2
PUSHING FORWARD;;;;2
QUALITATIVE EXPLORATION;;;;2
RACE RACISM;;;;2
RACE-ING ROE;;;;2
RACIAL DISPARITIES;;;;2
RADICAL FEMINIST;;;;2
READING REPRODUCTIVE;;;;2
REESCRIBEN LA;;1;;2
REIMAGINING REPRODUCTIVE;;;;2
REPARATIVE JUSTICE;;;;2
REPRODUCTIVE ABUSE;;;;2
REPRODUCTIVE CITIZENSHIP;;;;2
REPRODUCTIVE FUTURES;;;;2
REPRODUCTIVE INJUSTICES;;1;;2
REPRODUCTIVE ISSUES;;;;2
REPRODUCTIVE JUSTICE-INFORMED;;1;;2
REPRODUCTIVE LIFE;;;;2
REPRODUCTIVE VIOLENCE;;;;2
REPRODUTIVA PARA;;1;;2
RESEARCH ENGAGEMENT;;;;2
RETHINKING ABORTION;;;ABORTION STUDY;2
REVERSIBLE CONTRACEPTIVES;;;LONG-ACTING REVERSIBLE;2
RHETORICAL ANALYSIS;;1;;2
RIGHTS ADVOCACY;;;;2
RIGHTS IWOMEN;;;;2
RIGHTS REPRODUCTIVE;;;;2
ROCKY MOUNTAIN;;;;2
ROE REPRODUCTIVE;;;;2
ROMA GIRLS;;;;2
ROMA WOMEN;;;;2
ROYAL COMMISSION;;;;2
RURAL HEALTH;;;;2
RUTH OZEKIS;;;;2
SEED IMPERILED;;;;2
SEEKING ABORTION;;;;2
SEX-SELECTIVE ABORTION;;;;2
SEXUAL JUSTICE;;;;2
SEXUAL VIOLENCE;;;;2
SEXUALITY EDUCATION;;;SEX EDUCATION;2
SHARED DECISION-MAKING;;;;2
SHOULDNT HAPPEN;;;;2
SOBRE BIOPOLÍTICA;CARACTER ESPECIAL;;;2
SOCIAL DETERMINANTS;;;;2
SOUTH AFRICAN;;;;2
SOUTH KOREAS;;;;2
SOUTHERN AFRICA;;;;2
SPECULATIVE BLACK;;;;2
STIMPSON PRIZE;;;;2
STRUCTURAL RACISM;;;;2
STRUCTURAL VIOLENCE;;;;2
STUDENT ENCOUNTERS;;;;2
SUBJECT POSITION;;;;2
SUB-SAHARAN AFRICA;;;;2
SUPPORTING REPRODUCTIVE;;;;2
SUPREME COURT;;;;2
SYSTEMIC RACISM;;;;2
TECNOLOGIAS DE;;1;;2
TRANSFORMATIVE REPRODUCTIVE;;;;2
TRANSNATIONAL REPRODUCTIVE;;;;2
TRAVÉS DEL;CARACTER ESPECIAL;;;2
TRUMP ERA;;;;2
UNDUE BURDENS;;;;2
UNINTENDED PREGNANCY;;;UNINTENDED PREGNANCY;2
UNWANTED PREGNANCY;;;UNINTENDED PREGNANCY;2
US-MEXICO BORDER;;;;2
VIDAS PRECÁRIAS;;;;2
VIOLÊNCIA OBSTÉTRICA;CARACTER ESPECIAL;;;2
VITRO GAMETOGENESIS;;;;2
VUELTA DE;;1;;2
WAHINE MAORI;;;;2
WHARE TAKATA;;;;2
WOMB RACE;;;;2
WOMEN ETHICAL;;;ETHICAL ISSUES;2
WOMEN INVOLVED;;;;2
WOMEN-LED APPROACH;;;;2
WOMENS PATHWAYS;;;;2
WOMENS PRISONS;;;;2
WOMENS REQUESTS;;;;2
WOMENS SEXUAL;;;;2
YOUTH SEXUAL;;;ADDRESSING TEENAGE;2
ZIKA VIRUS;;;ZIKA VIRUS;2
ABBREVIATED REVIEW;;1;;1
ABLE-BODIED WOMEN;;;;1
ABLEISM WOMEN;;;;1
ABOLITION MEDICINE;;;ABOLITION POLITICS;1
ABOLITION POLITICS;;;ABOLITION POLITICS;1
ABOLITION PRISONS;;;ABOLITION POLITICS;1
ABOLITIONIST CARE;;;ABOLITION POLITICS;1
ABORTION ACTION;;;ABORTION STUDY;1
ABORTION ADVOCACY;;;ABORTION STUDY;1
ABORTION ANARCHY;;;ABORTION STUDY;1
ABORTION ATTITUDES;;;ABORTION STUDY;1
ABORTION BANS;;;ABORTION STUDY;1
ABORTION BANS-A;;;ABORTION STUDY;1
ABORTION BODILY;;;ABORTION STUDY;1
ABORTION CARE-SEEKING;;;ABORTION STUDY;1
ABORTION COUNSELING;;;ABORTION STUDY;1
ABORTION COUNSELLING;;;ABORTION STUDY;1
ABORTION CRITICAL;;;ABORTION STUDY;1
ABORTION DECISION;;;ABORTION STUDY;1
ABORTION DECISIONS;;;ABORTION STUDY;1
ABORTION DISABILITY;;;ABORTION STUDY;1
ABORTION DISCLOSURE;;;ABORTION STUDY;1
ABORTION DISCRIMINATION;;;ABORTION STUDY;1
ABORTION ERASE;;;ABORTION STUDY;1
ABORTION EXAMINING;;;ABORTION STUDY;1
ABORTION FACILITIES;;;ABORTION STUDY;1
ABORTION FACING;;;ABORTION STUDY;1
ABORTION FEDERALISM;;;ABORTION STUDY;1
ABORTION IMMOBILITY;;;ABORTION STUDY;1
ABORTION INFORMATION;;;ABORTION STUDY;1
ABORTION JUSTICE;;;ABORTION STUDY;1
ABORTION KNOWLEDGE;;;ABORTION STUDY;1
ABORTION LEGALIZATION;;;ABORTION STUDY;1
ABORTION LEGISLATION;;;ABORTION STUDY;1
ABORTION METHODOLOGICAL;;;ABORTION STUDY;1
ABORTION PATIENTS;;;ABORTION STUDY;1
ABORTION PRACTICES;;;ABORTION STUDY;1
ABORTION PROVIDERS;;;ABORTION STUDY;1
ABORTION PROVISION;;;ABORTION STUDY;1
ABORTION REFERENDUM;;;ABORTION STUDY;1
ABORTION RESTRICTIONS;;;ABORTION STUDY;1
ABORTION RESTRICTIVENESS;;;ABORTION STUDY;1
ABORTION SOCIAL;;;ABORTION STUDY;1
ABORTION STORIES;;;ABORTION STUDY;1
ABORTION STUDY;;;ABORTION STUDY;1
ABORTION TEACHING;;;ABORTION STUDY;1
ABORTION TRAINING;;;ABORTION STUDY;1
ABORTION TRIBUNALS;;;ABORTION STUDY;1
ABORTION VIEWPOINTS;;;ABORTION STUDY;1
ABORTION WARS;;;ABORTION STUDY;1
ABORTION WOMEN;;;ABORTION STUDY;1
ABORTION-FUND CLIENTS;;;ABORTION STUDY;1
ABORTION-RELATED KNOWLEDGE;;;ABORTION STUDY;1
ABORTION-RELATED RESEARCH;;;ABORTION STUDY;1
ABORTO UMA;;1;;1
ABORTO YA-FEMINIST;;;ABORTION STUDY;1
ABQ WOMEN;;;;1
ABSENCE CRISIS;;;;1
ABUSE PREVENTION;;;;1
ACADEMIC ABBREVIATED;;1;;1
ACADEMIC LITERATURE;;;;1
ACCEPTABLE OPTIONS;;;;1
ACCEPTING CARE;;;;1
ACCESS BIAS;;;;1
ACCESS CULTIVATING;;;;1
ACCESS ESTABLISHING;;;;1
ACCESS REPRODUCTIVE;;;;1
ACCESSING ASSISTED;;;ASSISTED REPRODUCTION;1
ACCESSING CONTRACEPTIVE;;;;1
ACCESSING PREGNANCY;;;;1
ACCURACY MAIHDA;;;;1
ACHIEVE EQUITY;;;EQUITY ADDRESSING;1
ACHIEVING EQUITY;;;EQUITY ADDRESSING;1
ACHIEVING TRANS;;;;1
ACIRRADOS PELA;;;;1
ACTING HIV;;;;1
ACTING REVERSIBLE;;;LONG-ACTING REVERSIBLE;1
ACTION ADDRESSING;;;ACTIVIST KNOWLEDGES;1
ACTION COALITION;;;ACTIVIST KNOWLEDGES;1
