"SR";"TI";"TI_TM"
"AMANI B, 2022, ETHN DIS";"INTEGRATED METHODS FOR APPLYING CRITICAL RACE THEORY TO QUALITATIVE COV ID-19 EQUITY RESEARCH";"INTEGRATED METHODS;APPLYING CRITICAL;CRITICAL RACE;RACE THEORY;QUALITATIVE COV;COV ID-;ID- EQUITY;EQUITY RESEARCH"
"AMBROGI I, 2023, DEV WORLD BIOETH";"REPRODUCTIVE JUSTICE: INEQUALITIES IN THE GLOBAL SOUTH";"REPRODUCTIVE JUSTICE;JUSTICE INEQUALITIES;GLOBAL SOUTH"
"AMER A, 2022, Undergrad. Res. Nat. Clin. Sci. Technol. J.";"BARRIERS TO WOMEN’S ACCESS TO VOLUNTARY STERILIZATION IN CANADA";"WOMENS ACCESS;VOLUNTARY STERILIZATION"
"AMERY F, 2015, NEW POLIT SCI";"INTERSECTIONALITY AS DISARTICULATORY PRACTICE: SEX-SELECTIVE ABORTION AND REPRODUCTIVE POLITICS IN THE UNITED KINGDOM";"DISARTICULATORY PRACTICE;PRACTICE SEX-SELECTIVE;SEX-SELECTIVE ABORTION;REPRODUCTIVE POLITICS;UNITED KINGDOM"
"AMERY F, 2020, BEYOND PRO-LIFE AND PRO-CHOICE: THE CHANGING POLITICS OF ABORTION IN BRITAIN-a";"BEYOND PRO-LIFE AND PRO-CHOICE THE CHANGING POLITICS OF ABORTION IN BRITAIN INTRODUCTION";"CHANGING POLITICS;BRITAIN INTRODUCTION"
"AMORE AD, 2022, J PERINAT NEONATAL NURS";"REFOCUSING THE CONDUCT OF MATERNAL MORTALITY RESEARCH IN BLACK PREGNANT POPULATIONS ETHICAL CONSIDERATIONS";"MATERNAL MORTALITY;MORTALITY RESEARCH;BLACK PREGNANT;PREGNANT POPULATIONS;POPULATIONS ETHICAL;ETHICAL CONSIDERATIONS"
"ANDERSEN M, 2024, J ETHN MIGR STUD";"AT YOUR SERVICE: THE MOBILITIES, RHYTHMS AND EVERYDAY LIVES OF MIGRANT LABOUR IN THE GIG ECONOMY";"MOBILITIES RHYTHMS;EVERYDAY LIVES;MIGRANT LABOUR;GIG ECONOMY"
"ANDERSON KV, 2022, Q J SPEECH";"FORUM: RHETORICS OF REPRODUCTIVE JUSTICE AND INJUSTICE IN THE AFTERMATH OF <I>DOBBS V. JACKSON WOMEN'S HEALTH ORGANIZATION</I>";"FORUM RHETORICS;REPRODUCTIVE JUSTICE;JACKSON WOMENS;WOMENS HEALTH;HEALTH ORGANIZATIONI"
"ANDERSON N, 2022, Leadersh. Intersect. Gend. RACE Healthc. Sci. CASE Stud. TOOLS";"SERVING FOR FIVE YEARS: WHAT I LEARNED ABOUT REPRODUCTIVE JUSTICE IN MOZAMBIQUE, AT THE CENTER OF THE WORLD";"REPRODUCTIVE JUSTICE"
"ANIEFUNA LI, 2020, WOMEN CRIM JUSTICE";"CREATING AND UNDOING LEGACIES OF RESILIENCE: BLACK WOMEN AS MARTYRS IN THE BLACK COMMUNITY UNDER OPPRESSIVE SOCIAL CONTROL";"UNDOING LEGACIES;RESILIENCE BLACK;BLACK WOMEN;BLACK COMMUNITY;OPPRESSIVE SOCIAL;SOCIAL CONTROL"
"APARICIO EM, 2021, QUAL HEALTH RES";"``HAVING A BABY CAN WAIT'': EXPERIENCES OF A SEXUAL AND REPRODUCTIVE HEALTH PROMOTION PROGRAM IN THE CONTEXT OF HOMELESSNESS AMONG ASIAN AMERICAN, NATIVE HAWAIIAN, AND OTHER PACIFIC ISLANDER YOUTH CAPTURED THROUGH PHOTOVOICE";"WAIT EXPERIENCES;REPRODUCTIVE HEALTH;HEALTH PROMOTION;PROMOTION PROGRAM;ASIAN AMERICAN;AMERICAN NATIVE;NATIVE HAWAIIAN;PACIFIC ISLANDER;ISLANDER YOUTH;YOUTH CAPTURED"
"APGAR A, 2021, J LESBIAN STUD";"<I>SAVING DELANEY</I> ... BY WHITE PRIVILEGE: A MEMOIR OF LESBIAN MOTHERHOOD AND ANTI-BLACK ABLEISM";"ISAVING DELANEYI;WHITE PRIVILEGE;LESBIAN MOTHERHOOD;ANTI-BLACK ABLEISM"
"APPLETON NS, 2023, Companion Anthropol. Reprod. Med. Technol.";"HORMONAL CONTRACEPTION: FROM DEMOGRAPHIC HISTORIES TO PLEASURABLE FUTURES?";"HORMONAL CONTRACEPTION;DEMOGRAPHIC HISTORIES;PLEASURABLE FUTURES"
"ARCHER RE, 2024, SOCIOL HEALTH ILL";"SURVIVING IN THE MIDST OF `NOWHERE': DISRUPTING THE CONCEPTUALISATION OF A MATERNITY CARE DESERT";"MATERNITY CARE;CARE DESERT"
"ARGUEDAS-RAMIREZ G, 2023, J LAW MED ETHICS";"REPRODUCTIVE JUSTICE BEYOND BORDERS: GLOBAL FEMINIST SOLIDARITY IN THE POST-<I>ROE</I> ERA";"REPRODUCTIVE JUSTICE;BORDERS GLOBAL;GLOBAL FEMINIST;FEMINIST SOLIDARITY;POST-IROEI ERA"
"ARMIJO L, 2023, INT J CARE CARING";"REVIEW OF `CONCEPTUAL ORIENTATIONS AND RECENT DEBATES ON CARE: STRATEGIES, RESISTANCES, VULNERABILITIES AND REPRODUCTIVE JUSTICE', IV LATIN AMERICAN CONGRESS OF SOCIAL THEORY, SANTIAGO, CHILE, 7-10 MARCH 2023";"CONCEPTUAL ORIENTATIONS;RECENT DEBATES;CARE STRATEGIES;STRATEGIES RESISTANCES;RESISTANCES VULNERABILITIES;REPRODUCTIVE JUSTICE;JUSTICE IV;IV LATIN;LATIN AMERICAN;AMERICAN CONGRESS;SOCIAL THEORY;THEORY SANTIAGO;SANTIAGO CHILE;MARCH NA"
"ARNOLD L, 2024, JBI EVID SYNTH";"REPRODUCTIVE JUSTICE IN PEDIATRIC HEALTH CARE: A SCOPING REVIEW PROTOCOL";"REPRODUCTIVE JUSTICE;PEDIATRIC HEALTH;HEALTH CARE;SCOPING REVIEW;REVIEW PROTOCOL"
"ARNULL LG, 2023, INT J TRANSGENDER HEALTH";"VISUALIZING PATTERNS AND GAPS IN TRANSGENDER SEXUAL AND REPRODUCTIVE HEALTH: A BIBLIOMETRIC AND CONTENT ANALYSIS OF LITERATURE (1990-2020)";"VISUALIZING PATTERNS;TRANSGENDER SEXUAL;REPRODUCTIVE HEALTH;CONTENT ANALYSIS"
"ARORA KS, 2020, CONTRACEPTION";"ATTITUDES AND BELIEFS OF OBSTETRICIANS-GYNECOLOGISTS REGARDING MEDICAID POSTPARTUM STERILIZATION - A QUALITATIVE STUDY";"MEDICAID POSTPARTUM;POSTPARTUM STERILIZATION;QUALITATIVE STUDY"
"ARUAH DE, 2023, Int. J. Environ. Res. Public Health";"TWEETS THAT MATTER: EXPLORING THE SOLUTIONS TO MATERNAL MORTALITY IN THE UNITED STATES DISCUSSED BY ADVOCACY ORGANIZATIONS ON TWITTER";"MATTER EXPLORING;MATERNAL MORTALITY;ADVOCACY ORGANIZATIONS"
"ASHER BLACKDEER A, 2023, J TRAUMA DISSOCIATION";"VIOLENCE, TRAUMA, AND COLONIALISM: A STRUCTURAL APPROACH TO UNDERSTANDING THE POLICY LANDSCAPE OF INDIGENOUS REPRODUCTIVE JUSTICE";"VIOLENCE TRAUMA;STRUCTURAL APPROACH;POLICY LANDSCAPE;INDIGENOUS REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"ASKEW 2016 LANCET";"A victory in the fight for sexual and reproductive justice.";"REPRODUCTIVE JUSTICE"
"ATHAN AM, 2020, AM PSYCHOL";"REPRODUCTIVE IDENTITY: AN EMERGING CONCEPT";"REPRODUCTIVE IDENTITY;EMERGING CONCEPT"
"AUERBACH SL, 2023, J MIDWIFERY WOMEN HEALTH";"CRITIQUING THE UNINTENDED PREGNANCY FRAMEWORK";"UNINTENDED PREGNANCY;PREGNANCY FRAMEWORK"
"AVERY B, 2021, SIGNS";"ASK A FEMINIST: BYLLYE AVERY DISCUSSES THE PAST AND FUTURE OF REPRODUCTIVE JUSTICE";"FEMINIST BYLLYE;BYLLYE AVERY;AVERY DISCUSSES;REPRODUCTIVE JUSTICE"
"AVERY LR, 2020, J SOC ISSUES";"SUBVERTING THE MANDATES OF OUR METHODS: TENSIONS AND CONSIDERATIONS FOR INCORPORATING REPRODUCTIVE JUSTICE FRAMEWORKS INTO PSYCHOLOGICAL SCIENCE";"METHODS TENSIONS;INCORPORATING REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORKS;PSYCHOLOGICAL SCIENCE"
"AVILA V, 2024, SOCIETIES";"CONTROLLING REPRODUCTION AND DISRUPTING FAMILY FORMATION: CALIFORNIA WOMEN'S PRISONS AND THE VIOLENT LEGACY OF EUGENICS";"CONTROLLING REPRODUCTION;DISRUPTING FAMILY;FAMILY FORMATION;FORMATION CALIFORNIA;CALIFORNIA WOMENS;WOMENS PRISONS;VIOLENT LEGACY"
"AYUBI Z, 2021, J RELIG ETHICS";"AUTHORITY AND EPISTEMOLOGY IN ISLAMIC MEDICAL ETHICS OF WOMEN'S REPRODUCTIVE HEALTH";"ISLAMIC MEDICAL;MEDICAL ETHICS;WOMENS REPRODUCTIVE;REPRODUCTIVE HEALTH"
"AZEVEDO JS, 2024, Rev. Direito E Sex.";"THE IMPORTANCE OF SUSTAINABLE DEVELOPMENT OBJECTIVES IN THE BRAZILIAN CONTEXT OF OBSTETRIC VIOLENCE; [A IMPORTÂNCIA DOS OBJETIVOS DO DESENVOLVIMENTO SUSTENTÁVEL NO CONTEXTO BRASILEIRO DE VIOLÊNCIA OBSTÉTRICA]";"SUSTAINABLE DEVELOPMENT;DEVELOPMENT OBJECTIVES;BRAZILIAN CONTEXT;OBSTETRIC VIOLENCE;IMPORTÂNCIA DOS;DOS OBJETIVOS;DESENVOLVIMENTO SUSTENTÁVEL;CONTEXTO BRASILEIRO;BRASILEIRO DE;DE VIOLÊNCIA;VIOLÊNCIA OBSTÉTRICA"
"BAILEY A, 2011, HYPATIA";"RECONCEIVING SURROGACY: TOWARD A REPRODUCTIVE JUSTICE ACCOUNT OF INDIAN SURROGACY";"RECONCEIVING SURROGACY;REPRODUCTIVE JUSTICE;JUSTICE ACCOUNT;INDIAN SURROGACY"
"BAIRD B, 2019, SEXUALITIES";"MORE THAN STIGMA: INTERROGATING COUNTER NARRATIVES OF ABORTION";"STIGMA INTERROGATING;INTERROGATING COUNTER;COUNTER NARRATIVES"
"BAIRD B, 2020, WOMEN STUD INT FORUM";"ABORTION AT THE EDGES: POLITICS, PRACTICES, PERFORMANCES";"EDGES POLITICS;POLITICS PRACTICES;PRACTICES PERFORMANCES"
"BAIRD B, 2023, WOMAN HIST";"LESBIAN MOTHERS IN TWENTY-FIRST CENTURY AUSTRALIA: CREATING A POLITICAL SUBJECT POSITION";"LESBIAN MOTHERS;TWENTY-FIRST CENTURY;CENTURY AUSTRALIA;AUSTRALIA CREATING;POLITICAL SUBJECT;SUBJECT POSITION"
"BAKER CC, 2022, OBSTET GYNECOL";"LONG-ACTING REVERSIBLE CONTRACEPTION";"LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION"
"BAKER MR, 2023, PSYCHOL WOMEN Q";"ABORTION STIGMA: IMAGINED CONSEQUENCES FOR PEOPLE SEEKING ABORTION CARE IN THE UNITED STATES";"ABORTION STIGMA;STIGMA IMAGINED;IMAGINED CONSEQUENCES;PEOPLE SEEKING;SEEKING ABORTION;ABORTION CARE"
"BAKHRU TS, 2019, Reprod. Justice Sex. RIGHTS: Transnatl. Perspect.";"REPRODUCTIVE JUSTICE AND SEXUAL RIGHTS: TRANSNATIONAL PERSPECTIVES";"REPRODUCTIVE JUSTICE;SEXUAL RIGHTS;RIGHTS TRANSNATIONAL;TRANSNATIONAL PERSPECTIVES"
"BAKHRU TS, 2019, Reprod. Justice Sex. RIGHTS: Transnatl. Perspect.-a";"THINKING TRANSNATIONALLY: REPRODUCTIVE JUSTICE IN A GLOBALIZED ERA";"THINKING TRANSNATIONALLY;TRANSNATIONALLY REPRODUCTIVE;REPRODUCTIVE JUSTICE;GLOBALIZED ERA"
"BAKHRU TS, 2024, Reprod. Justice Adopt. Foster CARE";"REPRODUCTIVE JUSTICE, ADOPTION, AND FOSTER CARE";"REPRODUCTIVE JUSTICE;JUSTICE ADOPTION;FOSTER CARE"
"BALDWIN-WHITE A, 2023, CHILD YOUTH SERV REV";"WAR ON FAMILIES: LIMITING ACCESS TO REPRODUCTIVE HEALTH";"FAMILIES LIMITING;LIMITING ACCESS;REPRODUCTIVE HEALTH"
"BALLIF E, 2023, SOCIOL-J BRIT SOCIOL ASSOC";"ANTICIPATORY REGIMES IN PREGNANCY: CROSS-FERTILISING REPRODUCTION AND PARENTING CULTURE STUDIES";"ANTICIPATORY REGIMES;PREGNANCY CROSS-FERTILISING;CROSS-FERTILISING REPRODUCTION;PARENTING CULTURE;CULTURE STUDIES"
"BANERJEE S, 2024, S ASIAN REV";"COMPASSION, FEMALE VICTIMHOOD AND ABORTION LEGALIZATION IN POSTCOLONIAL INDIA: TRACING EPISTEMIC HETEROGENEITY IN ABORTION POLITICS";"COMPASSION FEMALE;FEMALE VICTIMHOOD;ABORTION LEGALIZATION;POSTCOLONIAL INDIA;INDIA TRACING;TRACING EPISTEMIC;EPISTEMIC HETEROGENEITY;ABORTION POLITICS"
"BARADI H, 2023, J LAW MED ETHICS";"ADVOCATING FOR ABOLITION IN HEALTH LAW: A THEORY AND PRAXIS TO LIBERATE BLACK INCARCERATED WOMEN";"HEALTH LAW;LIBERATE BLACK;BLACK INCARCERATED;INCARCERATED WOMEN"
"BARCELONA V, 2023, OBSTET GYNECOL";"THE POWER OF LANGUAGE IN HOSPITAL CARE FOR PREGNANT AND BIRTHING PEOPLE <I>A VISION FOR CHANGE</I>";"HOSPITAL CARE;BIRTHING PEOPLE;PEOPLE IA;IA VISION"
"BARCELOS C, 2018, GEND SOC";"CULTURE, CONTRACEPTION, AND COLORBLINDESS: YOUTH SEXUAL HEALTH PROMOTION AS A GENDERED RACIAL PROJECT";"CULTURE CONTRACEPTION;COLORBLINDESS YOUTH;YOUTH SEXUAL;SEXUAL HEALTH;HEALTH PROMOTION;GENDERED RACIAL;RACIAL PROJECT"
"BARCELOS CA, 2020, DISTRIBUTING CONDOMS AND HOPE: THE RACIALIZED POLITICS OF YOUTH SEXUAL HEALTH";"EDUCATED HOPE: TOWARD IMAGINING REPRODUCTIVE JUSTICE IN MILLERSTON CONCLUSION";"EDUCATED HOPE;IMAGINING REPRODUCTIVE;REPRODUCTIVE JUSTICE;MILLERSTON CONCLUSION"
"BARNERT ES, 2020, ACAD PEDIATR";"PREGNANCY OUTCOMES AMONG GIRLS IMPACTED BY COMMERCIAL SEXUAL EXPLOITATION";"PREGNANCY OUTCOMES;GIRLS IMPACTED;COMMERCIAL SEXUAL;SEXUAL EXPLOITATION"
"BARNES JA, 2021, AM ANTHROPOL";"BEHIND THE SCENES OF HOLLYWOOD: AN ARCHAEOLOGY OF REPRODUCTIVE OPPRESSION AT THE INTERSECTIONS";"REPRODUCTIVE OPPRESSION"
"BARNES L, 2020, SOCIOL COMPASS";"REPRODUCTIVE JUSTICE FOR THE INVISIBLE INFERTILE: A CRITICAL EXAMINATION OF REPRODUCTIVE SURVEILLANCE AND STRATIFICATION";"REPRODUCTIVE JUSTICE;INVISIBLE INFERTILE;CRITICAL EXAMINATION;REPRODUCTIVE SURVEILLANCE"
"BARNES L, 2020, Sociol. Compass";"TEACHING AND LEARNING GUIDE FOR: REPRODUCTIVE JUSTICE FOR THE INVISIBLE INFERTILE: A CRITICAL EXAMINATION OF REPRODUCTIVE SURVEILLANCE AND STRATIFICATION";"LEARNING GUIDE;REPRODUCTIVE JUSTICE;INVISIBLE INFERTILE;CRITICAL EXAMINATION;REPRODUCTIVE SURVEILLANCE"
"BARRAL R, 2022, SEMIN REPROD MED";"DISMANTLING INEQUITIES IN ADOLESCENT AND YOUNG ADULT HEALTH THROUGH A SEXUAL AND REPRODUCTIVE HEALTH JUSTICE APPROACH";"DISMANTLING INEQUITIES;ADULT HEALTH;REPRODUCTIVE HEALTH;HEALTH JUSTICE;JUSTICE APPROACH"
"BARTOS AE, 2024, HYPATIA";"CARE AND THE LIMITS OF A PRO-CHOICE DISCOURSE";"PRO-CHOICE DISCOURSE"
"BASS T, 2022, AM J SEX EDUC";"A REVIEW OF <I>HISTORY OF SEX EDUCATION</I> BY SIECUS";"SEX EDUCATIONI"
"BATESON D, 2019, ROUTLEDGE Int. Handb. WOMEN'S Sex. Reprod. Health";"CONTRACEPTION ACROSS THE REPRODUCTIVE LIFE-COURSE";"REPRODUCTIVE LIFE-COURSE"
"BATISAI K, 2022, BIRTH Control. Sel. Reprod. NEOLIBERAL Eugen. South Afr. India";"STRATIFIED AND VIOLENT: YOUNG WOMEN’S EXPERIENCES OF ACCESS TO REPRODUCTIVE HEALTH IN SOUTHERN AFRICA";"WOMENS EXPERIENCES;REPRODUCTIVE HEALTH;SOUTHERN AFRICA"
"BATZKE I, 2023, EUR J AM STUD";"FEMINIST PERSPECTIVES ON REPRODUCTION AND MOTHERHOOD AND/AS CULTIVATION: RUTH OZEKI'S <I>ALL OVER CREATION</I>";"FEMINIST PERSPECTIVES;MOTHERHOOD ANDAS;ANDAS CULTIVATION;CULTIVATION RUTH;RUTH OZEKIS;OZEKIS IALL"
"BAZZANO AN, 2024, MATERN CHILD HEALTH J";"DEVELOPMENT AND UNFOLDING OF THE LIFE COURSE MOVEMENT IN THE FIELD OF MATERNAL AND CHILD HEALTH: AN ORAL HISTORY";"CHILD HEALTH;ORAL HISTORY"
"BECK E, 2024, AFFILIA FEMINIST INQUIRY SOC WORK";"REPRODUCTIVE JUSTICE, BODILY AUTONOMY, AND STATE VIOLENCE";"REPRODUCTIVE JUSTICE;JUSTICE BODILY;BODILY AUTONOMY"
"BECKER A, 2023, GEND SOC";"STRATIFIED REPRODUCTION, HYSTERECTOMY, AND THE SOCIAL PROCESS OF OPTING INTO INFERTILITY";"STRATIFIED REPRODUCTION;REPRODUCTION HYSTERECTOMY;SOCIAL PROCESS"
