"";"SR";"TC";"PY";"TI";"AB";"DI";"DT"
"186";"MONK C, 2022, AMER J OBSTET GYNECOL MFM";8;2022;"THE TRANSITION TO PARENTHOOD IN OBSTETRICS: ENHANCING PRENATAL CARE FOR 2-GENERATION IMPACT";"OBSTETRICS, THE SPECIALTY OVERSEEING INFANT AND PARENT HEALTH BEFORE BIRTH, COULD BE EXPANDED TO ADDRESS THE INTERRELATED AREAS OF PARENTS' PRENATAL IMPACT ON CHILDREN'S BRAIN DEVELOPMENT AND THEIR OWN PSYCHOSOCIAL NEEDS DURING A TIME OF IMMENSE CHANGE AND NEUROPLASTICITY. OBSTETRICS IS PRIMED FOR THE SHIFT THAT IS HAPPENING IN PEDIATRICS, WHICH IS MOVING FROM ITS TRADITIONAL FOCUS ON PHYSICAL HEALTH TO A COORDINATED, WHOLE-CHILD, 2OR MULTIGENERATION APPROACH. PEDIATRIC CARE NOW INCLUDES DEVELOPMENTAL SCREENING, PARENTING EDUCATION, PARENT COACHING, ACCESS TO DEVELOPMENTAL SPECIALISTS, BRAIN-BUILDING CAREGIVING SKILLS, LINKAGES TO COMMUNITY RESOURCES, AND TIERED INTERVENTIONS WITH PSYCHOLOGISTS. DRAWING ON DECADES OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE RESEARCH HIGHLIGHTING THE PRENATAL BEGINNINGS OF FUTURE HEALTH AND NEW STUDIES ON THE TRANSITION TO PARENTHOOD DESCRIBING ADULT DEVELOPMENT FROM PREGNANCY TO EARLY POSTPARTUM, WE HAVE PROPOSED THAT, SIMILAR TO PEDIATRICS, THE INTEGRATION OF EDUCATION AND INTERVENTION STRATEGIES INTO THE PRENATAL CARE ECOSYSTEM SHOULD BE TESTED FOR ITS POTENTIAL TO IMPROVE CHILD COGNITIVE AND SOCIAL-EMOTIONAL DEVELOPMENT AND PARENTAL MENTAL HEALTH. PEDIATRIC CARE PROGRAMS CAN SERVE AS MODELS OF CHANGE FOR THE SYSTEMATIC DEVELOPMENT, TESTING AND, INCORPORATION OF NEW CONTENT INTO PRENATAL CARE AS UNIVERSAL, FIRST-TIER TREATMENT AND EVIDENCED-BASED, TRIAGED INTERVENTIONS ACCORDING TO THE LEVEL OF NEED. TO PROMOTE OPTIMAL BEGINNINGS FOR THE WHOLE FAMILY, WE HAVE PROPOSED AN AUGMENTED PRENATAL CARE ECOSYSTEM THAT ALIGNS WITH, AND COULD BUILD ON, CURRENT MAJOR EFFORTS TO ENHANCE PERINATAL CARE INDIVIDUALIZATION THROUGH CONSIDERATION OF MEDICAL, SOCIAL, AND STRUCTURAL DETERMINANTS OF HEALTH.";"10.1016/j.ajogmf.2022.100678";"REVIEW"
"187";"MCKENZIE HA, 2022, QUAL HEALTH RES";8;2022;"INDIGENOUS WOMEN'S RESISTANCE OF COLONIAL POLICIES, PRACTICES, AND REPRODUCTIVE COERCION";"THIS ANALYSIS OF URBAN INDIGENOUS WOMEN'S EXPERIENCES ON THE HOMELAND OF THE METIS AND TREATY ONE (WINNIPEG, MANITOBA, CANADA), TREATY FOUR (REGINA, SASKATCHEWAN, CANADA), AND TREATY SIX (SASKATOON, SASKATCHEWAN, CANADA) TERRITORIES ILLUSTRATES THAT INDIGENOUS WOMEN HAVE RECENTLY EXPERIENCED COERCION WHEN INTERACTING WITH HEALTHCARE AND SOCIAL SERVICE PROVIDERS IN VARIOUS SETTINGS. DRAWING ON ANALYSIS OF MEDIA, STUDY CONVERSATIONS, AND POLICIES, THIS COLLABORATIVE, ACTION-ORIENTED PROJECT WITH 32 WOMEN AND TWO-SPIRIT COLLABORATORS DEMONSTRATED A PATTERN OF HEALTHCARE AND OTHER SERVICE PROVIDERS SUBJECTING INDIGENOUS WOMEN TO COERCIVE PRACTICES RELATED TO TUBAL LIGATIONS, LONG-TERM CONTRACEPTIVES, AND ABORTIONS. WE FOREGROUND TECHNIQUES INDIGENOUS WOMEN USE TO ASSERT THEIR RIGHTS WITHIN CONTEXTS OF REPRODUCTIVE COERCION, INCLUDING ACTS OF REFUSAL, NEGOTIATION, AND SHARING COMMUNITY KNOWLEDGE. BY RECOGNIZING HOW COLONIAL RELATIONS SHAPE INDIGENOUS WOMEN'S EXPERIENCES, DECISION-MAKERS AND SERVICE PROVIDERS CAN TAKE ACTION TO TRANSFORM INSTITUTIONAL CULTURES SO INDIGENOUS WOMEN CAN NAVIGATE THEIR REPRODUCTIVE DECISION-MAKING WITH SAFETY AND DIGNITY.";"10.1177/10497323221087526";"ARTICLE"
"188";"LOWE P, 2022, GLOB PUBLIC HEALTH";8;2022;"LONG-ACTING REVERSIBLE CONTRACEPTION: TARGETING THOSE JUDGED TO BE UNFIT FOR PARENTHOOD IN THE UNITED STATES AND THE UNITED KINGDOM";"THERE IS A LONG HISTORY OF REGARDING MARGINALISED GROUPS AS UNFIT TO PARENT AND OF EUGENIC POLICIES TARGETING THOSE WITH `UNDESIRABLE' BODILY CONDITIONS OR BEHAVIOURS. THIS IS PART OF A BROADER PATTERN OF STRATIFIED REPRODUCTION - STRUCTURAL CONDITIONS THAT ENABLE OR DISCOURAGE CERTAIN GROUPS FROM REPRODUCING - THAT OFTEN BRINGS ABOUT AND EXACERBATES INJUSTICES. THIS PAPER CRITICALLY ASSESSES THE US AND UK SOCIAL AND MEDICAL LITERATURE ON APPLYING PRESSURE TO MARGINALISED GROUPS, OR THOSE WHO HAVE BEHAVED `IRRESPONSIBLY', TO USE LONG-ACTING REVERSIBLE CONTRACEPTION (LARC). TARGETING YOUNG PEOPLE FOR LARC FAILS TO RECOGNISE THAT SOCIAL INEQUALITY IS THE CONTEXT FOR TEENAGE PREGNANCY, NOT THE RESULT OF IT. PROVIDER PRESSURE ON WOMEN OF COLOUR TO USE LARC IS LINKED TO INSTITUTIONAL RACISM, WHILST POLICY FOR THOSE WITH PHYSICAL AND INTELLECTUAL DISABILITIES IS SHAPED BY DISABILITY DISCRIMINATION. OTHER GROUPS TO BE TARGETED INCLUDE SO-CALLED `WELFARE MOTHERS', SUBSTANCE USERS, THOSE WHO HAVE HAD CHILDREN PUT INTO CARE AND OFFENDERS. PARTICULARLY CONTROVERSIAL ARE CASES IN WHICH LARC HAS BEEN ORDERED BY COURTS. LARC POLICY INCORPORATING THESE KIND OF DISCRIMINATORY PRACTICES NEEDS TO STOP; FUTURE POLICY SHOULD FOCUS ON PERSON-CENTRED CARE THAT BOLSTERS REPRODUCTIVE JUSTICE.";"10.1080/17441692.2022.2048408";"ARTICLE"
"189";"OBERMAN M, 2022, J LAW BIOSCI";8;2022;"WHAT WILL AND WON'T HAPPEN WHEN ABORTION IS BANNED";"FOR THE PAST 50 YEARS, ABORTION OPPONENTS HAVE FOUGHT FOR THE POWER TO BAN ABORTION WITHOUT LITTLE ATTENTION TO HOW THINGS MIGHT CHANGE WHEN THEY WON. THE BATTLE TO MAKE ABORTION ILLEGAL HAS BEEN PREDICATED ON THREE NEBULOUS ASSUMPTIONS ABOUT HOW ABORTION BANS WORK. FIRST, SUPPORTERS BELIEVE BANNING ABORTION WILL DETER IT. SECOND, THEY HOPE BANS WILL SEND A MESSAGE ABOUT ABORTION-SPECIFICALLY, THAT ABORTION IS IMMORAL. AND THIRD, THEY EXPECT BANS TO BE COMPETENTLY IMPLEMENTED AND ENFORCED. DRAWING ON EMPIRICAL WORK FROM WITHIN AND OUTSIDE OF THE U.S., THIS ARTICLE OFFERS AN EVIDENCE-BASED ASSESSMENT OF EACH OF THESE ASSUMPTIONS. PART ONE EXAMINES THE QUESTION OF DETERRENCE BY EXPLORING FINDINGS FROM COUNTRIES WITH RELATIVELY HIGH AND RELATIVELY LOW ABORTION RATES. AFTER EXPLAINING WHY RESTRICTIVE ABORTION LAWS ALONE DO NOT REDUCE AGGREGATE ABORTION RATES, I CONSIDER THE MATTER OF INDIVIDUAL DETERRENCE. BY IDENTIFYING THOSE MOST LIKELY TO BE DETERRED BY U.S. ABORTION BANS, I ILLUSTRATE HOW ABORTION BANS INTERSECT WITH STRUCTURAL INEQUALITIES TO DISPROPORTIONATELY IMPACT POOR WOMEN OF COLOR AND THEIR CHILDREN. PART TWO TESTS THE IDEA THAT ABORTION BANS SEND A MESSAGE. I CONSIDER THE BANS' MEANING IN CONTEXT WITH U.S. LAWS AND POLICIES AFFECTING FAMILIES, EXPOSING THE DIFFERENCE BETWEEN LAWS DISCOURAGING ABORTION, AND THOSE ENCOURAGING CHILDBIRTH. THEN, DRAWING FROM LITERATURE ON THE EXPRESSIVE FUNCTION OF THE LAW, I ASSESS THE LIMITS ON THE MESSAGE-SENDING CAPACITY OF ABORTION BANS IN A SOCIETY DIVIDED OVER ABORTION AND OVER ITS COMMITMENT TO CHILDREN LIVING IN POVERTY. PART THREE TURNS TO THE EXPECTATION THAT ABORTION BANS WILL BE COMPETENTLY ENFORCED, NOTING THE LEGITIMACY STRUGGLES ARISING FROM LAW ENFORCEMENT PATTERNS, ALONG WITH THE ADMINISTRATIVE CHALLENGES INHERENT IN OVERSEEING THE VARIOUS EXCEPTIONS TO ABORTION BANS. THIS ARTICLE CONCLUDES BY CONSIDERING WHY THE CONSEQUENCES AND LIMITATIONS OF ABORTION BANS SHOULD MATTER TO SUPPORTERS AND OPPONENTS, ALIKE.";"10.1093/jlb/lsac011";"ARTICLE"
"190";"JULIAN Z, 2021, OBSTET GYNECOL";8;2021;"COMMUNITY-ENGAGED CURRICULUM DEVELOPMENT IN SEXUAL AND REPRODUCTIVE HEALTH EQUITY STRUCTURES AND SELF";"BACKGROUND: INEQUITABLE OUTCOMES IN SEXUAL AND REPRODUCTIVE HEALTH DISPROPORTIONATELY BURDEN COMMUNITIES MINORITIZED BY SYSTEMS OF OPPRESSION. ALTHOUGH THERE IS EVIDENCE LINKING STRUCTURAL DETERMINANTS TO THESE INEQUITIES, CLINICAL LEARNERS HAVE LIMITED EXPOSURE TO THESE TOPICS IN THEIR TRAINING. WE DEVELOPED A CURRICULUM AIMED TO TEACH CLINICAL LEARNERS THE STRUCTURAL DETERMINANTS OF SEXUAL AND REPRODUCTIVE HEALTH. METHOD: WE IMPLEMENTED KERN'S SIX-STEP METHOD FOR CURRICULUM DEVELOPMENT. THROUGH LITERATURE REVIEW, WE IDENTIFIED STRUCTURAL COMPETENCY AS THE FOUNDATIONAL FRAMEWORK AND EXPLORED COMMUNITY PRIORITIES FOR CLINICAL TRAINING. WE ASSESSED LEARNER NEEDS REGARDING STRUCTURAL EQUITY TRAINING, ARTICULATED GOALS AND OBJECTIVES, AND CHOSE VIDEO MODULES AS THE PRIMARY EDUCATIONAL STRATEGY. WE COLLABORATIVELY DEVELOPED CONTENT WITH COMMUNITY SCHOLARS AND REPRODUCTIVE JUSTICE ADVOCATES. FOR PHASE 1 OF OUR CURRICULUM, WE CREATED PILLAR VIDEOS WITH REFLECTION QUESTIONS, RESOURCES, AND A VISUAL GLOSSARY OF KEY TERMS. ALL MATERIALS ARE AVAILABLE THROUGH AN ONLINE EDUCATIONAL PLATFORM OFFERING OPEN-ACCESS, EVIDENCE-BASED CURRICULA. EXPERIENCE: WE LAUNCHED OUR CURRICULUM WITH A SOCIAL MEDIA CAMPAIGN AND PRESENTED OUR VIDEOS AT SEVERAL NATIONAL CONVENINGS. WE IMPLEMENTED VIDEOS WITH CLINICAL LEARNERS WITH POSITIVE PRELIMINARY EVALUATION RESULTS. CONCLUSION: WITH RIGOROUS DEVELOPMENT ROOTED IN COMMUNITY ENGAGEMENT, OUR CURRICULUM CONTRIBUTES TO THE TOOLS PROMOTING STRUCTURAL EQUITY TRAINING IN OBSTETRICS AND GYNECOLOGY.";"10.1097/AOG.0000000000004324";"ARTICLE"
"191";"MALONEY S, 2021, MIDWIFERY";8;2021;"FACTORS ASSOCIATED WITH GIVING BIRTH AT ADVANCED MATERNAL AGE IN THE UNITED STATES";"OBJECTIVE: IN 2018, 17 PERCENT OF ALL BIRTHS IN THE UNITED STATES OCCURRED TO WOMEN OF ADVANCED MATERNAL AGE (AMA.) WHILE THE OUTCOMES OF AMA PREGNANCIES HAVE BEEN EXAMINED EXTENSIVELY, THE DRIVERS BEHIND INCREASING RATES OF AMA PREGNANCIES IN THE UNITED STATES ARE LESS UNDERSTOOD. SOME SCHOLARS HAVE ASSERTED THAT WOMEN ARE INCREASINGLY DELAYING THEIR FIRST BIRTH IN FAVOR OF EDUCATIONAL AND CAREER ASPIRATIONS. YET BIRTH TRENDS IN THE UNITED STATES DO NOT SUPPORT THIS AS THE PRIMARY EXPLANATORY FACTOR OF AMA BIRTHS. OTHER FACTORS MAY ALSO CONTRIBUTE TO HIGH RATES OF AMA IN THE UNITED STATES. THIS STUDY SOUGHT TO IDENTIFY MAIN PREDICTORS OF AMA BIRTH USING A CROSS-SECTIONAL RETROSPECTIVE SAMPLE. DESIGN: WE EMPLOYED A MULTIVARIATE LOGISTIC REGRESSION ANALYSIS ON A CROSS-SECTIONAL RETROSPECTIVE SAMPLE TO IDENTIFY SIGNIFICANT INDEPENDENT PREDICTORS OF GIVING BIRTH AT ADVANCE MATERNAL AGE (AMA) IN THE UNITED STATES. SETTING: DATA WAS OBTAINED FROM THE UNITES STATES PREGNANCY RISK ASSESSMENT MONITORING SYSTEM (PRAMS) PHASE 7 CORE QUESTIONNAIRE AND LINKED BIRTH CERTIFICATES. QUESTIONS ARE DESIGNED TO ASSESS MATERNAL ATTITUDES AND EXPERIENCES BEFORE, DURING AND JUST AFTER PREGNANCY. SURVEYS FOR PHASE 7 WERE COMPLETED IN 2017 AND 2018. THE STUDY POPULATION REPRESENTS MOTHERS FROM 34 STATES THAT MET THE CDC'S 55\% RESPONSE RATE THRESHOLD AND PUERTO RICO. PARTICIPANTS: THE PRAMS DATASET COMPRISES SELF-REPORTED DATA AND LINKED BIRTH CERTIFICATE DATA FROM WOMEN WHO RECENTLY GAVE BIRTH. A TOTAL OF 38,549 MOTHERS ARE INCLUDED IN THE PHASE 7 DATASET. STATE SAMPLE SIZES RANGED FROM 503 MOTHERS IN WYOMING TO 1,897 MOTHERS IN MICHIGAN. ALL MOTHERS GAVE BIRTH IN THE YEAR 2017. MEASUREMENTS AND FINDINGS: THE OUTCOME OF INTEREST WAS AMA BIRTH, DEFINED AS CONCEIVING AND SUBSEQUENTLY GIVING BIRTH TO A BABY AT AGE 35 OR OLDER. PREDICTORS FOR AMA BIRTH WERE SELECTED A PRIORI AND INCLUDED: PREGNANCY INTENTION, HISTORY OF PREVIOUS LIVE BIRTH, INSURANCE STATUS, INCOME, EDUCATION, RACE/ETHNICITY, MARITAL STATUS, AND URBAN LOCATION. PREVIOUS LIVE BIRTH TO AT LEAST ONE CHILD WAS A SIGNIFICANT INDEPENDENT PREDICTOR FOR AMA BIRTH. MOTHERS WITH HIGH PARITY, DEFINED AS 6 OR MORE PREVIOUS LIVE BIRTHS, WERE 17 TIMES MORE LIKELY TO GIVE BIRTH AT ADVANCED MATERNAL AGE. MOTHERS WITH AN UNWANTED PREGNANCY WERE 1.9 TIMES MORE LIKELY TO HAVE AN AMA BIRTH. COLLEGE ATTAINMENT, HIGH INCOME, MARITAL STATUS, URBANICITY, AND RACE/ETHNICITY WERE ALSO INDEPENDENT PREDICTORS OF AMA BIRTH. HEALTH INSURANCE WAS NOT A SIGNIFICANT PREDICTOR OF AMA BIRTH AFTER ACCOUNTING FOR OTHER FACTORS. KEY CONCLUSIONS: DELAYED AND LATE CHILDBIRTH MAY NOT BE INTENTIONAL FOR A SIGNIFICANT GROUP OF OLDER MOTHERS. CONVERSE TO POPULAR ASSUMPTIONS THAT WOMEN DELAY CHILDBEARING IN FAVOR OF CAREER ASPIRATIONS, THE MAJORITY OF AMA MOTHERS HAVE PREVIOUS CHILDREN. HALF OF AMA MOTHERS HAVE TWO OR MORE PREVIOUS CHILDREN. THE FINDINGS IN THIS PAPER SUGGESTS THAT MULTIPLE FACTORS PREDICT AMA BIRTHS. THERE MAY BE SEVERAL SUBTYPES OF WOMEN WHO ENTER PREGNANCY AT ADVANCED MATERNAL AGE. IMPLICATIONS FOR PRACTICE: AS WOMEN WEIGH PERSONAL DESIRE TO BEAR CHILDREN AGAINST COMPETING SOCIAL EXPECTATIONS, THEY MAY FIND THEMSELVES NAVIGATING THEIR OWN UNIQUE PATH SHAPED IN PART BY THE REGION IN WHICH THEY LIVE. BETTER CHARACTERIZATION OF THE CIRCUMSTANCES THAT LEAD TO ADVANCED MATERNAL AGE IN THE UNITED STATES, INCLUDING EXPLORATION OF UNINTENDED AND UNWANTED AMA PREGNANCY, IS NECESSARY TO DEVELOP POLICIES AND INTERVENTIONS THAT MEET WOMEN'S NEEDS. THIS WORK SHOULD UTILIZE A REPRODUCTIVE JUSTICE FRAMEWORK TO ENSURE THAT WOMEN'S PREFERENCES, PARTICULARLY WOMEN OF COLOR, ARE UPHELD WHILE PROMOTING HEALTH AND WELLBEING FOR WOMEN.";"10.1016/j.midw.2021.102975";"ARTICLE"
"192";"YOUNES M, 2021, J SOC WORK EDUC";8;2021;"A CALL TO ACTION: ADDRESSING AMBIVALENCE AND PROMOTING ADVOCACY FOR REPRODUCTIVE RIGHTS IN SOCIAL WORK EDUCATION";"THIS ARTICLE HIGHLIGHTS THE CURRENT SOCIOPOLITICAL REALITY SURROUNDING REPRODUCTIVE RIGHTS IN THE UNITED STATES, AND THE AMBIVALENCE OF SOCIAL WORK EDUCATION IN INTEGRATING REPRODUCTIVE JUSTICE INTO THE CURRICULUM AND PROFESSIONAL PREPARATION OF STUDENTS FOR PRACTICE. THE AUTHORS DECONSTRUCT A MULTISYSTEM EQUIVOCATION THAT MANIFESTS THROUGH THE SILENCE OF COUNCIL ON SOCIAL WORK EDUCATION (CSWE) GUIDANCE ON THE ISSUE, AND THE TENUOUS POSITION OF SOCIAL WORK EDUCATION PROGRAMS WITHIN SHIFTING INSTITUTIONAL CLIMATES. A CALL TO ACTION IS MADE WITH A SPECIFIC PROPOSAL FOR CSWE AND SOCIAL WORK PROGRAMS TO CONSIDER FOR EFFECTIVE PROFESSIONAL PREPARATION OF STUDENTS AND THE FULFILLMENT OF THE PROFESSION'S ASPIRATION TO PROTECT HUMAN RIGHTS TO AUTONOMY AND SELF-DETERMINATION.";"10.1080/10437797.2021.1895930";"ARTICLE"
"193";"GUERRA-REYES L, 2021, QUAL HEALTH RES";8;2021;"MANAGING PRECARITY: UNDERSTANDING LATINAS' SEXUAL AND REPRODUCTIVE CARE-SEEKING IN A MIDWEST EMERGENT LATINO COMMUNITY";"IN THIS QUALITATIVE INTERVIEW STUDY, WE TOOK A TWO-PRONGED APPROACH TO UNDERSTAND THE COMPLEXITIES OF SEXUAL AND REPRODUCTIVE HEALTH (SRH) CARE ACCESS FOR LATINAS IN AN EMERGING LATINO COMMUNITY (ELC). PHASE 1 ASSESSED THE SRH RESOURCES AVAILABLE FOR UNINSURED LATINAS THROUGH PROVIDER INTERVIEWS. IN PHASE 2, WE INTERVIEWED 15 LATINA-IDENTIFIED WOMEN ABOUT THEIR CONSIDERATIONS FOR SRH CARE-SEEKING. THE SCANT OPTIONS FOR SRH CARE ARE FOCUSED LARGELY ON CONTRACEPTION AND PREGNANCY. PROVIDERS VIEWED THEMSELVES AS PREVENTION-ORIENTED AND PERCEIVED LATINAS DID NOT PRIORITIZE PREVENTIVE CARE. WOMEN DESCRIBED COMPOUNDING CHALLENGES AND PRECARIOUS CONDITIONS. ANNUAL CHECKUPS, ACCESSING CONTRACEPTION, AND TREATING VAGINAL INFECTIONS WERE IDENTIFIED AS NEEDS. BARRIERS TO SRH CARE WERE ENHANCED IN AN ELC. PARTICIPANTS DESCRIBED TOO MUCH PAPERWORK AND LIMITED TIME AS ORGANIZATIONAL BARRIERS WHICH AGGRAVATED OTHERS, SUCH AS LANGUAGE LIMITATIONS AND FEELING EMBARRASSED TO ASK QUESTIONS. FURTHER RESEARCH ON SRH CARE USING A REPRODUCTIVE JUSTICE APPROACH IS NEEDED IN ELCS.";"10.1177/1049732320984430";"ARTICLE"
"194";"BRANDAO ER, 2021, CIENC SAUDE COLETIVA";8;2021;"YOUTH, GENDER AND REPRODUCTIVE JUSTICE: HEALTH INEQUITIES IN FAMILY PLANNING IN BRAZIL'S UNIFIED HEALTH SYSTEM";"SEXUAL INITIATION IS A GRADUAL PROCESS OF EXPERIMENTATION AND LEARNING THE CULTURAL REPERTOIRE OF GENDER, REPRODUCTION, CONTRACEPTION, SEXUAL VIOLENCE AND OTHER TOPICS SURROUNDING YOUTH SOCIABILITY. UNLIKE SEXUAL ABSTINENCE-BASED APPROACHES PROMOTED AS A PANACEA FOR REDUCING ``EARLY PREGNANCY'' IN BRAZIL, REPRODUCTIVE JUSTICE IS POSITED AS A FRAMEWORK FOR ADDRESSING HEALTH INEQUITIES IN FAMILY PLANNING. THIS ARTICLE DISCUSSES THE CHALLENGES FACED BY PUBLIC HEALTH POLICIES IN SUPPORTING ADOLESCENTS AND YOUNG PEOPLE IN THEIR SEXUAL AND REPRODUCTIVE TRAJECTORIES, DRAWING ON THE CONCEPT OF INTERSECTIONALITY. WE FOCUS ON PUBLIC INSTITUTIONAL INITIATIVES PROVIDING LONG-ACTING REVERSIBLE CONTRACEPTIVES (LARC) ON THE BRAZILIAN UNIFIED HEALTH SYSTEM (SUS) IMPLEMENTED OVER THE LAST DECADE. WE CONDUCTED A DOCUMENTARY ANTHROPOLOGICAL STUDY DRAWING ON EMPIRICAL DATA ON CONTRACEPTIVE TECHNOLOGIES IN ORDER TO PROBLEMATIZE WHAT WE CALL THE ``SELECTIVE PROVISION'' OF THESE DEVICES AND DISCRIMINATORY AND STIGMATIZING PRACTICES. ADVOCATING THE EXPANSION OF THE PROVISION OF CONTRACEPTION ON THE SUS, WITH UNIVERSAL ACCESS TO LARC FOR ALL WOMEN, DISTANCES ITSELF FROM WHAT WE CALL ``CONTRACEPTIVE COERCION'' AMONG SPECIFIC SOCIAL GROUPS.";"10.1590/1413-81232021267.08322021";"ARTICLE"
"195";"HARPER KC, 2021, TECH COMMUN Q";8;2021;"TIRED AS A MUTHA: BLACK MOTHER ACTIVISTS AND THE FIGHT FOR AFFORDABLE HOUSING AND HEALTH CARE";"BLACK MOTHER ACTIVISTS PLAY A PIVOTAL ROLE IN REDRESSING COMMUNITY INEQUITIES. TO ADDRESS THE WORK OF THESE ACTIVISTS, I TURN TO TECHNICAL AND PROFESSIONAL COMMUNICATION AND REPRODUCTIVE JUSTICE TO EXPLORE HOW ETHOS IS CENTRAL TO THEIR WORK.";"10.1080/10572252.2021.1930183";"ARTICLE"
"196";"GARCIA-RAMIREZ M, 2020, INT J ENVIRON RES PUBLIC HEALTH";8;2020;"ROMOMATTER: EMPOWERING ROMA GIRLS' MATTERING THROUGH REPRODUCTIVE JUSTICE";"AIM: TO PRESENT A PROTOCOL STUDY DIRECTED AT TACKLING GENDER DISCRIMINATION AGAINST ROMA GIRLS BY EMPOWERING THEIR MATTERING SO THEY CAN ENVISION THEIR OWN FUTURES AND CHOOSE MOTHERHOOD ONLY IF-AND WHEN-THEY ARE READY. BACKGROUND: MOTHERHOOD AMONG ROMA GIRLS (RGM) IN EUROPE IMPOVERISHES THEIR LIVES, PUTS THEM AT RISK OF POOR PHYSICAL AND MENTAL HEALTH AND PRECIPITATES SCHOOL DROPOUTS. OVERWHELMING EVIDENCE AFFIRMS THAT THE CONDITIONS OF POVERTY AND THE SOCIAL EXCLUSIONARY PROCESSES THEY SUFFER HAVE A VERY IMPORTANT EXPLANATORY WEIGHT IN THEIR SEXUAL AND REPRODUCTIVE DECISIONS. METHODS: THROUGH A COMMUNITY-BASED PARTICIPATORY ACTION RESEARCH DESIGN, 20-25 ROMA GIRLS WILL BE RECRUITED IN EACH ONE OF THE FOUR IMPOVERISHED COMMUNITIES IN BULGARIA, ROMANIA AND SPAIN. DATA COLLECTION AND ANALYSIS: DESK REVIEW ABOUT SCIENTIFIC EVIDENCES AND POLICIES WILL BE CARRIED OUT TO FRAME THE PROBLEM. NARRATIVES OF ROMA WOMEN AS WELL AS BASELINE AND END LINE INTERVIEWS OF GIRL PARTICIPANTS WILL BE COLLECTED THROUGH BOTH QUALITATIVE AND QUANTITATIVE TECHNIQUES. QUANTITATIVE DATA WILL BE GATHERED THROUGH RELIABLE SCALES OF MATTERING, SOCIO-POLITICAL AGENCY, SATISFACTION WITH LIFE AND SELF. A NARRATIVE ANALYSIS OF THE QUALITATIVE INFORMATION GENERATED IN THE INTERVIEWS WILL BE CARRIED OUT. EXPECTED RESULTS: (1) UNCOVER CONTEXTUAL AND PSYCHOSOCIAL PATTERNS OF GIRL-MOTHERHOOD AMONG ROMA WOMEN; (2) BUILD CRITICAL THINKING AMONG ROMA GIRLS TO ACTIVELY PARTICIPATE IN ALL DECISIONS AFFECTING THEM AND ADVOCATE FOR THEIR OWN GENDER RIGHTS WITHIN THEIR COMMUNITIES; AND (3) EMPOWER ROMA GIRLS AND THEIR SIGNIFICANT ADULTS TO CRITICALLY EVALUATE THEIR OWN INITIATIVES AND PROVIDE FEEDBACK TO THEIR RELEVANT STAKEHOLDERS. CONCLUSIONS: ROMA GIRLS WILL IMPROVE THEIR EDUCATIONAL ASPIRATIONS AND ACHIEVEMENTS AND THEIR SOCIAL STATUS WHILE RESPECTING AND ENHANCING ROMA VALUES.";"10.3390/ijerph17228498";"ARTICLE"
"197";"SILVER LJ, 2020, FEM ANTHR";8;2020;"QUEERING REPRODUCTIVE JUSTICE: MEMORIES, MISTAKES, AND MOTIVATIONS TO TRANSFORM KINSHIP";"WHY DOES A QUEER FEMINIST APPROACH TO REPRODUCTIVE JUSTICE MATTER? WHY MIGHT IT MATTER FOR YOUTH WHO BUILD THEIR FAMILIES WHILE NAVIGATING THE SURVEILLANCE OF A LARGE URBAN U.S. CHILD WELFARE SYSTEM? WHY MIGHT IT MATTER FOR QUEER TRANSRACIAL FAMILIES LIKE MY OWN AND FOR OTHER ``DISRUPTIVE FAMILIES''? THIS AUTOETHNOGRAPHIC ACCOUNT SHADOWS MY ETHNOGRAPHY WITH BLACK ADOLESCENT MOTHERS AND THEIR CHILDREN LIVING UNDER SURVEILLANCE. THE WORKS STEMS FROM AN OBLIGATION TO SHIFT MY GAZE TO MYSELF, AS I FOLLOW A LONG REFLEXIVE TRADITION IN FEMINIST ANTHROPOLOGY AROUND EXPLORING MY VULNERABILITIES AND CHANGING POINT OF VIEW. I ARGUE THAT QUEERING REPRODUCTIVE JUSTICE REVEALS DIVERSE FORMS OF KINSHIP AND CARE NETWORKS TO MOTIVATE COALITION BUILDING ACROSS FAMILIES. QUEER BLACK ACTIVISTS AND FEMINISTS HAVE CONSISTENTLY OFFERED CRITICAL INSIGHTS INTO HOW TO MAKE THE RALLYING CRY OF BLACK LIVES MATTER MORE INCLUSIVE OF BLACK TRANS AND CIS GIRLS AND WOMEN, AS WELL AS FOR GENDER-EXPANSIVE BLACK PEOPLE AND FAMILIES. AS A MULTI-CITY AND GLOBAL COALITION ERUPTS AND DEMANDS THE LIBERATION OF BLACK LIVES, THE TIME IS RIPE FOR A QUEER COALITION FOR REPRODUCTIVE JUSTICE.";"10.1002/fea2.12019";"ARTICLE"
