"";"Term";"Cluster"
"INCREASING ACCESS";"INCREASING ACCESS";1
"INFORMED CONSENT";"INFORMED CONSENT";5
"INSURANCE COVERAGE";"INSURANCE COVERAGE";2
"INTEGRATED APPROACH";"INTEGRATED APPROACH";4
"INTELLECTUAL DISABILITY";"INTELLECTUAL DISABILITY";1
"INTENTION SCREENING";"INTENTION SCREENING";4
"INVISIBLE INFERTILE";"INVISIBLE INFERTILE";6
"IUD COUNSELING";"IUD COUNSELING";4
"JUSTICE CONCLUSION";"JUSTICE CONCLUSION";3
"JUSTICE CONTEXTS";"JUSTICE CONTEXTS";3
"JUSTICE EXAMINING";"JUSTICE EXAMINING";4
"JUSTICE FRAMEWORKS";"JUSTICE FRAMEWORKS";4
"JUSTICE FUTURES";"JUSTICE FUTURES";3
"JUSTICE HEALTH";"JUSTICE HEALTH";1
"JUSTICE IMPLICATIONS";"JUSTICE IMPLICATIONS";5
"JUSTICE LESSONS";"JUSTICE LESSONS";1
"JUSTICE MATTERS";"JUSTICE MATTERS";4
"JUSTICE METHODOLOGY";"JUSTICE METHODOLOGY";2
"JUSTICE MOVEMENT";"JUSTICE MOVEMENT";5
"JUSTICE PRINCIPLES";"JUSTICE PRINCIPLES";4
"JUSTICE RACE";"JUSTICE RACE";2
"JUSTICE RACIAL";"JUSTICE RACIAL";3
"LA INJUSTICIA";"LA INJUSTICIA";1
"LA LEY";"LA LEY";2
"LAS MUJERES";"LAS MUJERES";2
"LEGISLATIVE PERSPECTIVE";"LEGISLATIVE PERSPECTIVE";2
"LESSONS LEARNED";"LESSONS LEARNED";5
"LEY INVESTIGACIÓN";"LEY INVESTIGACIÓN";2
"LISA LOOMERS";"LISA LOOMERS";3
"LISTENING OBSTETRIC";"LISTENING OBSTETRIC";3
"LIVED EXPERIENCES";"LIVED EXPERIENCES";2
"LOST OPPORTUNITY";"LOST OPPORTUNITY";5
"LTCHOICE GT";"LTCHOICE GT";3
"MATERNAL AGE";"MATERNAL AGE";4
"MATERNAL AGENCY";"MATERNAL AGENCY";3
"MATERNIDADES PROHIBIDAS";"MATERNIDADES PROHIBIDAS";1
"MATERNITY FRAN";"MATERNITY FRAN";3
"MEDICAL-LEGAL PARTNERSHIP";"MEDICAL-LEGAL PARTNERSHIP";2
"MEDICAL STUDENTS";"MEDICAL STUDENTS";1
"MEETING WOMENS";"MEETING WOMENS";3
"METHODS TENSIONS";"METHODS TENSIONS";4
"MILITARIZED ASIA";"MILITARIZED ASIA";6
"MOTHERS ELIZABETH";"MOTHERS ELIZABETH";6
"MULHERES VULNERÁVEIS";"MULHERES VULNERÁVEIS";4
"MULTIGENERATIONAL CULTURE";"MULTIGENERATIONAL CULTURE";1
"NATIONAL CALL";"NATIONAL CALL";3
"NATIONAL HEALTH";"NATIONAL HEALTH";1
"NEOLIBERAL GLOBALIZATION";"NEOLIBERAL GLOBALIZATION";3
"NUCLEAR DIFFUSION";"NUCLEAR DIFFUSION";6
"OBSTETRIC ANESTHESIOLOGY";"OBSTETRIC ANESTHESIOLOGY";3
"OBSTETRIC CARE";"OBSTETRIC CARE";1
"OUTSTANDING FEMINIST";"OUTSTANDING FEMINIST";1
"PACIFIC ISLANDER";"PACIFIC ISLANDER";1
"PARTICIPATORY RESEARCH";"PARTICIPATORY RESEARCH";2
"PATIENT CARE";"PATIENT CARE";1
"PERIOD POVERTY";"PERIOD POVERTY";2
"PODCAST CULTURE";"PODCAST CULTURE";6
"PODCAST FAMILY";"PODCAST FAMILY";6
"POLÍGONO SUR";"POLÍGONO SUR";1
"POLITICAL INTERSECTIONALITY";"POLITICAL INTERSECTIONALITY";5
"POLITICAL SUBJECT";"POLITICAL SUBJECT";1
"POLITICS SOCIAL";"POLITICS SOCIAL";3
"POPULAR MEDIA";"POPULAR MEDIA";4
"POSTHUMANISMO REPRODUCTIVO";"POSTHUMANISMO REPRODUCTIVO";6
"PRECÁRIAS TECNOLOGIAS";"PRECÁRIAS TECNOLOGIAS";4
"PRECONCEPTION HEALTH";"PRECONCEPTION HEALTH";1
"PROHIBIDAS LA";"PROHIBIDAS LA";1
"PROVIDE ABORTION";"PROVIDE ABORTION";3
"PROVIDER BIAS";"PROVIDER BIAS";3
"PSYCHOLOGICAL DISTRESS";"PSYCHOLOGICAL DISTRESS";4
"PSYCHOLOGICAL SCIENCE";"PSYCHOLOGICAL SCIENCE";4
"PUBLIC HEARING";"PUBLIC HEARING";3
"PUBLIC POLICY";"PUBLIC POLICY";2
"PUSHING FORWARD";"PUSHING FORWARD";2
"QUALITATIVE EXPLORATION";"QUALITATIVE EXPLORATION";5
"RACE RACISM";"RACE RACISM";4
"RACIAL DISPARITIES";"RACIAL DISPARITIES";1
"RADICAL FEMINIST";"RADICAL FEMINIST";4
"READING REPRODUCTIVE";"READING REPRODUCTIVE";2
"REFUGEE WOMEN";"REFUGEE WOMEN";2
"REIMAGINING REPRODUCTIVE";"REIMAGINING REPRODUCTIVE";6
"REPARATIVE JUSTICE";"REPARATIVE JUSTICE";2
"REPRODUCTIVE ABUSE";"REPRODUCTIVE ABUSE";3
"REPRODUCTIVE CITIZENSHIP";"REPRODUCTIVE CITIZENSHIP";1
"REPRODUCTIVE FUTURES";"REPRODUCTIVE FUTURES";5
"REPRODUCTIVE ISSUES";"REPRODUCTIVE ISSUES";2
"REPRODUCTIVE LIFE";"REPRODUCTIVE LIFE";1
"REPRODUCTIVE VIOLENCE";"REPRODUCTIVE VIOLENCE";1
"RESEARCH ENGAGEMENT";"RESEARCH ENGAGEMENT";2
"RIGHTS ADVOCACY";"RIGHTS ADVOCACY";5
"RIGHTS REPRODUCTIVE";"RIGHTS REPRODUCTIVE";5
"ROCKY MOUNTAIN";"ROCKY MOUNTAIN";2
"ROMA GIRLS";"ROMA GIRLS";3
"ROMA WOMEN";"ROMA WOMEN";2
"ROYAL COMMISSION";"ROYAL COMMISSION";5
"RURAL HEALTH";"RURAL HEALTH";2
"RUTH OZEKIS";"RUTH OZEKIS";2
"SEED IMPERILED";"SEED IMPERILED";3
"SEEKING ABORTION";"SEEKING ABORTION";5
"SEX-SELECTIVE ABORTION";"SEX-SELECTIVE ABORTION";1
"SEXUAL JUSTICE";"SEXUAL JUSTICE";5
"SEXUAL VIOLENCE";"SEXUAL VIOLENCE";2
"SHARED DECISION-MAKING";"SHARED DECISION-MAKING";2
"SHOULDNT HAPPEN";"SHOULDNT HAPPEN";3
"SOBRE BIOPOLÍTICA";"SOBRE BIOPOLÍTICA";2
"SOCIAL DETERMINANTS";"SOCIAL DETERMINANTS";1
"SOUTH AFRICAN";"SOUTH AFRICAN";5
"SOUTH KOREAS";"SOUTH KOREAS";5
"SOUTHERN AFRICA";"SOUTHERN AFRICA";2
"SPECULATIVE BLACK";"SPECULATIVE BLACK";3
"STIMPSON PRIZE";"STIMPSON PRIZE";1
"STRUCTURAL RACISM";"STRUCTURAL RACISM";1
"STRUCTURAL VIOLENCE";"STRUCTURAL VIOLENCE";5
"STUDENT ENCOUNTERS";"STUDENT ENCOUNTERS";4
"SUB-SAHARAN AFRICA";"SUB-SAHARAN AFRICA";4
"SUBJECT POSITION";"SUBJECT POSITION";1
"SUPPORTING REPRODUCTIVE";"SUPPORTING REPRODUCTIVE";1
"SUPREME COURT";"SUPREME COURT";4
"SYSTEMIC RACISM";"SYSTEMIC RACISM";1
"THEORETICAL FRAME";"THEORETICAL FRAME";4
"TRANSFORMATIVE REPRODUCTIVE";"TRANSFORMATIVE REPRODUCTIVE";5
"TRANSNATIONAL REPRODUCTIVE";"TRANSNATIONAL REPRODUCTIVE";2
"TRUMP ERA";"TRUMP ERA";5
"UNDUE BURDENS";"UNDUE BURDENS";3
"US-MEXICO BORDER";"US-MEXICO BORDER";1
"VIDAS PRECÁRIAS";"VIDAS PRECÁRIAS";4
"VITRO GAMETOGENESIS";"VITRO GAMETOGENESIS";6
"WAHINE MAORI";"WAHINE MAORI";4
"WHARE TAKATA";"WHARE TAKATA";4
"WOMB RACE";"WOMB RACE";3
"WOMEN-LED APPROACH";"WOMEN-LED APPROACH";1
"WOMEN INVOLVED";"WOMEN INVOLVED";1
"WOMENS LIVES";"WOMENS LIVES";2
"WOMENS PATHWAYS";"WOMENS PATHWAYS";2
"WOMENS PRISONS";"WOMENS PRISONS";5
"WOMENS REQUESTS";"WOMENS REQUESTS";3
"WOMENS RIGTH";"WOMENS RIGTH";4
"WOMENS SEXUAL";"WOMENS SEXUAL";1
"ABLE-BODIED WOMEN";"ABLE-BODIED WOMEN";5
"ABLEISM WOMEN";"ABLEISM WOMEN";4
"ABQ WOMEN";"ABQ WOMEN";6
"ABSENCE CRISIS";"ABSENCE CRISIS";1
"ABUSE PREVENTION";"ABUSE PREVENTION";4
"ACADEMIC LITERATURE";"ACADEMIC LITERATURE";3
"ACCEPTABLE OPTIONS";"ACCEPTABLE OPTIONS";4
"ACCEPTING CARE";"ACCEPTING CARE";2
"ACCESS BIAS";"ACCESS BIAS";4
"ACCESS CULTIVATING";"ACCESS CULTIVATING";6
"ACCESS ESTABLISHING";"ACCESS ESTABLISHING";5
"ACCESS REPRODUCTIVE";"ACCESS REPRODUCTIVE";4
"ACCESSING PREGNANCY";"ACCESSING PREGNANCY";1
"ACCURACY MAIHDA";"ACCURACY MAIHDA";4
"ACHIEVING TRANS";"ACHIEVING TRANS";4
"ACIRRADOS PELA";"ACIRRADOS PELA";4
"ACTING HIV";"ACTING HIV";4
"ACTION RESEARCH";"ACTION RESEARCH";6
"ADAPTIVE THROWING";"ADAPTIVE THROWING";5
"ADDRESS PROVIDER";"ADDRESS PROVIDER";4
"ADDRESS RACIAL";"ADDRESS RACIAL";1
"ADDRESS TOXIC";"ADDRESS TOXIC";1
"ADDRESSING AMBIVALENCE";"ADDRESSING AMBIVALENCE";1
"ADULT HEALTH";"ADULT HEALTH";1
"ADULT INDIAN";"ADULT INDIAN";3
"ADULT REPRODUCTIVE";"ADULT REPRODUCTIVE";4
"ADULTS PERCEPTION";"ADULTS PERCEPTION";4
"ADVANCE DIRECTIVES";"ADVANCE DIRECTIVES";1
"ADVANCED MOTHERHOOD";"ADVANCED MOTHERHOOD";4
"ADVANCED PRACTICE";"ADVANCED PRACTICE";1
"ADVANCING GENDER";"ADVANCING GENDER";4
"AFFECTING UNINTENDED";"AFFECTING UNINTENDED";1
"AFFECTIVE METABOLISM";"AFFECTIVE METABOLISM";6
"AFFLUENT NATIONS";"AFFLUENT NATIONS";4
"AFFORDABLE HOUSING";"AFFORDABLE HOUSING";4
"AFRICAN MOTHER";"AFRICAN MOTHER";6
"AGE CONTRIBUTED";"AGE CONTRIBUTED";4
"AGE LIMIT";"AGE LIMIT";5
"AGE LIMITS";"AGE LIMITS";1
"AGENCY MATERIALITY";"AGENCY MATERIALITY";6
"ALIGNING ACTIONS";"ALIGNING ACTIONS";2
"ALLEVIATING WORLD";"ALLEVIATING WORLD";1
"ALTRUISTIC SURROGACY";"ALTRUISTIC SURROGACY";6
"AMANDINE GAY";"AMANDINE GAY";6
"AMBIVALENT SEXISM";"AMBIVALENT SEXISM";5
"AMERICA IMPACT";"AMERICA IMPACT";5
"AMERICA REPRODUCTIVE";"AMERICA REPRODUCTIVE";6
"AMERICAN CONGRESS";"AMERICAN CONGRESS";2
"AMERICAN FAMILIES";"AMERICAN FAMILIES";5
"AMERICAN FEMALE";"AMERICAN FEMALE";4
"AMERICAN FICTION";"AMERICAN FICTION";6
"AMERICAN LITERATURE";"AMERICAN LITERATURE";6
"AMERICAN PROFESSIONAL";"AMERICAN PROFESSIONAL";4
"AMPLIFYING RHETORICS";"AMPLIFYING RHETORICS";6
"AMULYA MALLADIS";"AMULYA MALLADIS";6
"ANALYSIS EMPOWERING";"ANALYSIS EMPOWERING";4
"ANALYTICAL APERTURE";"ANALYTICAL APERTURE";4
"ANALYZING HUMAN";"ANALYZING HUMAN";2
"ANALYZING REPRODUCTIVE";"ANALYZING REPRODUCTIVE";2
"ANDAS CULTIVATION";"ANDAS CULTIVATION";2
"ANESTHESIA PROVIDER";"ANESTHESIA PROVIDER";4
"ANGLOPHONE LITERATURE";"ANGLOPHONE LITERATURE";6
"ANNE DONCHIN";"ANNE DONCHIN";2
"ANNIE ERNAUXS";"ANNIE ERNAUXS";6
"ANTHROPOLOGY STATEMENT";"ANTHROPOLOGY STATEMENT";4
"ANTI-BLACK ABLEISM";"ANTI-BLACK ABLEISM";4
"ANTI-BLACK GENDERED";"ANTI-BLACK GENDERED";1
"ANTI-BLACK RACIAL";"ANTI-BLACK RACIAL";4
"ANTI-COLONIAL PEDAGOGIES";"ANTI-COLONIAL PEDAGOGIES";2
"ANTI-CRISIS PREGNANCY";"ANTI-CRISIS PREGNANCY";1
"ANTI-ELAB MOVEMENT";"ANTI-ELAB MOVEMENT";6
"ANTI-GENDER STANCES";"ANTI-GENDER STANCES";6
"ANTI-HETEROPATRIARCHAL REPRODUCTIVE";"ANTI-HETEROPATRIARCHAL REPRODUCTIVE";6
"ANTI-LYNCHING PLAYS";"ANTI-LYNCHING PLAYS";4
"ANTI-MULLERIAN HORMONE";"ANTI-MULLERIAN HORMONE";1
"ANTICIPATORY REGIMES";"ANTICIPATORY REGIMES";4
"ANXIETY DISORDER";"ANXIETY DISORDER";1
"APERTURE PROPOSITIONS";"APERTURE PROPOSITIONS";4
"APOSS MUSKOKA";"APOSS MUSKOKA";4
